,Rk,Player,Nation,Position,Squad,Competition,Age,Born,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots per 90,Shots on Target per 90,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,Free Kicks,Penatly Kicks,Penalty Kicks Attempted,Expected Goals,Non Penalty Expected Goals,Non Penalty Expected Goals per shot,Goals - Expected Goals,Non Penalty Goals - Expected Goals,Total Passes Completed,Total Passes Attempted,Total Pass Completion %,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,Expected Assisted Goals,Expected Assists,Assists - Expected Assisted Goals,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Total Passes Attempted,Live-Ball Passes,Dead-Ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw Ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Total Passes Completed,Total Passes Offside,Total Passes Blocked,Shot Creating Actions,Shot Creating Actions per 90,SCA Pass Live,SCA Pass Dead,SCA Take Ons,SCA Shot,SCA Fouls Drawn,SCA Defensive Actions,Goal Creating Actions,Goal Creating Actions per 90,GCA Pass Live,GCA Pass Dead,GCA Take Ons,GCA Shot,GCA Fouls Drawn,GCA Defensive Actions,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Number of Dribblers Tackled,Number of Dribbles Challenged,Dribblers Tackled %,Dribbled Past,Total Blocks,Shots Blocked,Passes Blocked,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches in Defensive Penalty,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live Ball Touches,Take Ons Attempted,Successful Take Ons,Successful Take on %,Times Tackled,Tackled %,Number of Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Matches Played,Minutes Played,Minutes per Match,Total Minutes Played %,Starts,Minutes per Start,Complete Matches Played,Subbed On,Minutes per Sub,Subbed Off,PPM,onG,onGA,Goals +/-,Goals +/- per 90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Yellow Cards,Red Cards,Second Yellows,Fouls Committed,Fouls Drawn,Offside,Crs,Int,Tackles Won,Penalty Kicks Won,Penalty Kicks Converted,Own Goals,Loose Balls Recovered,Aerials Won,Aerials Lost,Aerials Won %,Poss
0,1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23-249,2000,3.8,0.0,0.2631578947368421,0.0,0.0,0.06842105263157895,0.0,0.0,0.0,6.2894736842105265,0.0,0.0,0.0,0.0,0.0,0.005263157894736843,0.0,0.0,35.78947368421053,46.8421052631579,76.4,591.578947368421,215.0,18.42105263157895,21.05263157894737,87.5,13.68421052631579,17.894736842105264,76.5,2.8947368421052633,4.473684210526316,64.7,0.0,0.026315789473684213,0.052631578947368425,-0.026315789473684213,0.5263157894736842,1.842105263157895,1.3157894736842106,0.5263157894736842,3.4210526315789473,46.8421052631579,36.05263157894737,10.789473684210527,1.0526315789473684,0.5263157894736842,0.5263157894736842,1.0526315789473684,9.736842105263158,0.0,0.0,0.0,0.0,35.78947368421053,0.0,2.1052631578947367,2.1052631578947367,0.5499999999999999,1.3157894736842106,0.2631578947368421,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2541939087150307,1.434487032818656,1.6394137517927494,0.614780156922281,0.0,2.049267189740937,2.868974065637312,71.4,0.8197068758963747,1.229560313844562,0.8197068758963747,0.40985343794818735,0.0,2.2541939087150307,1.434487032818656,0.0,57.10526315789474,3.4210526315789473,18.947368421052634,28.157894736842106,10.526315789473685,0.0,57.10526315789474,3.1578947368421053,1.3157894736842106,41.7,0.7894736842105263,25.0,25.789473684210527,168.42105263157896,88.6842105263158,0.7894736842105263,1.3157894736842106,0.0,0.7894736842105263,0.0,29.210526315789476,2.368421052631579,1.0526315789473684,90.52631578947368,22.63157894736842,95.6,1.0526315789473684,22.63157894736842,0.7894736842105263,0.0,0.0,0.0,0.13157894736842105,0.7894736842105263,2.1052631578947367,-1.3157894736842106,-0.3447368421052632,-1.8236842105263158,1.1578947368421053,2.342105263157895,-1.1842105263157896,-0.3105263157894737,-1.486842105263158,0.2631578947368421,0.0,0.0,1.0526315789473684,3.1578947368421053,0.0,1.0526315789473684,0.0,1.434487032818656,0.0,0.0,0.0,5.526315789473684,0.5263157894736842,2.1052631578947367,20.0,0.778721532101556
1,2,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,22-323,2000,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.818181818181817,20.0,59.1,140.0,50.90909090909091,9.09090909090909,10.909090909090908,83.3,1.8181818181818181,4.545454545454545,40.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,20.0,20.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,11.818181818181817,0.0,2.727272727272727,0.9090909090909091,0.8636363636363635,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.8636363636363635,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.7605795098656848,0.0,0.3802897549328424,0.3802897549328424,0.0,0.3802897549328424,0.3802897549328424,100.0,0.0,0.3802897549328424,0.0,0.3802897549328424,0.0,0.7605795098656848,0.0,0.0,27.27272727272727,1.8181818181818181,4.545454545454545,14.545454545454545,8.181818181818182,0.0,27.27272727272727,1.8181818181818181,0.0,0.0,1.8181818181818181,100.0,16.363636363636363,37.272727272727266,12.727272727272727,0.0,0.0,0.0,0.0,0.0,19.09090909090909,4.545454545454545,1.8181818181818181,86.36363636363636,43.63636363636363,35.2,1.8181818181818181,43.63636363636363,0.0,0.0,0.0,0.0,2.727272727272727,3.6363636363636362,0.9090909090909091,2.727272727272727,2.5818181818181816,2.5818181818181816,1.2727272727272725,1.4545454545454546,-0.18181818181818182,-0.1636363636363636,0.5727272727272726,1.8181818181818181,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,2.727272727272727,0.0,1.8181818181818181,0.0,0.41831873042612666
2,3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-015,2003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,60.0,75.0,720.0,120.0,20.0,30.0,66.7,25.0,25.0,100.0,0.0,5.0,0.0,5.0,0.5,0.0,4.5,5.0,10.0,10.0,0.0,10.0,60.0,55.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,23.7,5.0,0.0,0.0,0.0,0.0,0.0,5.0,23.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,40.0,50.0,5.0,90.0,10.0,0.0,0.0,10.0,100.0,60.0,210.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,10.0,95.0,50.0,7.0,0.0,0.0,0.0,10.0,50.0,0.0,5.0,10.0,0.0,10.0,47.35,49.15,3.4999999999999996,0.5,2.9999999999999996,14.299999999999999,13.3,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,100.0,1.5370495669980355
3,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-347,1987,4.0,0.25,0.75,0.25,33.3,0.1875,0.0625,0.0825,0.25,5.6,0.0,0.0,0.0,0.05,0.05,0.015,0.2,0.2,57.0,66.5,85.7,1170.25,408.25,15.5,18.0,86.1,35.0,36.75,95.2,5.75,10.25,56.1,0.0,0.0,0.025,0.0,0.25,6.75,0.5,0.0,6.5,66.5,60.5,5.5,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.5,0.5,0.25,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99343830056226,1.49671915028113,1.49671915028113,1.49671915028113,0.0,0.898031490168678,2.394750640449808,37.5,1.49671915028113,1.796062980337356,1.197375320224904,0.598687660112452,1.49671915028113,4.49015745084339,3.592125960674712,0.0,79.5,10.75,32.25,45.25,2.5,0.5,79.5,0.25,0.0,0.0,0.25,100.0,53.75,314.0,183.0,1.75,0.25,0.0,0.75,0.25,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.25,1.49671915028113,0.0,0.0,0.0,7.75,2.0,2.0,50.0,1.197375320224904
4,5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-168,2000,3.5,0.0,0.2857142857142857,0.0,0.0,0.08285714285714285,0.0,0.0,0.0,7.685714285714285,0.0,0.0,0.0,0.0,0.0,0.008571428571428572,0.0,0.0,40.0,45.142857142857146,88.6,637.1428571428571,175.71428571428572,20.571428571428573,22.571428571428573,91.1,14.857142857142858,17.142857142857142,86.7,3.4285714285714284,4.0,85.7,0.0,0.0,0.028571428571428574,0.0,0.2857142857142857,4.285714285714286,0.0,0.0,4.571428571428571,45.142857142857146,43.42857142857143,1.7142857142857142,1.7142857142857142,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.1428571428571428,1.1428571428571428,0.3257142857142857,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6879640112357965,0.22932133707859884,0.45864267415719767,0.22932133707859884,0.0,0.45864267415719767,0.9172853483143953,50.0,0.45864267415719767,0.45864267415719767,0.0,0.45864267415719767,0.22932133707859884,0.9172853483143953,0.0,0.0,49.42857142857143,0.5714285714285714,5.428571428571429,32.857142857142854,11.428571428571429,0.5714285714285714,49.42857142857143,0.8571428571428571,0.0,0.0,0.5714285714285714,66.7,42.0,211.42857142857142,88.28571428571429,0.0,1.7142857142857142,0.0,0.5714285714285714,0.0,40.0,1.1428571428571428,1.1428571428571428,102.85714285714286,25.714285714285715,100.0,1.1428571428571428,25.714285714285715,1.1428571428571428,0.0,0.0,0.0,0.5,2.2857142857142856,1.4285714285714286,0.8571428571428571,0.21428571428571427,0.0,1.4857142857142858,1.0,0.5142857142857143,0.12571428571428572,0.0,0.2857142857142857,0.0,0.0,2.2857142857142856,1.1428571428571428,0.0,0.2857142857142857,0.2857142857142857,0.22932133707859884,0.0,0.5714285714285714,0.0,3.7142857142857144,0.0,0.2857142857142857,0.0,0.802624679775096
5,6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-221,1993,4.0,0.25,0.75,0.25,33.3,0.1875,0.0625,0.0825,0.25,5.55,0.0,0.0,0.0,0.1,0.1,0.035,0.15,0.15,46.5,51.0,91.2,819.25,210.75,20.25,21.75,93.1,21.75,23.0,94.6,4.25,5.25,81.0,0.25,0.1,0.075,0.15,1.0,5.0,0.5,0.0,3.5,51.0,47.5,3.25,3.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,46.5,0.25,0.75,2.25,0.5625,1.25,0.0,0.25,0.0,0.0,0.75,0.75,0.1875,0.25,0.0,0.25,0.0,0.0,0.25,0.9840451342042076,0.3690169253265778,0.6150282088776298,0.3690169253265778,0.0,0.3690169253265778,1.5990733430818374,23.1,1.2300564177552595,0.9840451342042076,0.2460112835510519,0.7380338506531556,1.4760677013063113,2.460112835510519,0.7380338506531556,0.12300564177552595,61.5,2.0,20.5,34.75,7.0,0.5,61.5,2.25,1.75,77.8,0.5,22.2,46.0,181.25,66.25,0.25,0.5,0.25,1.0,0.75,41.5,0.25,1.0,78.75,19.75,87.5,1.0,19.75,0.75,0.0,0.0,0.0,0.0625,0.75,2.0,-1.25,-0.3575,0.1425,0.625,1.325,-0.7,-0.1975,0.2175,0.0,0.0,0.0,1.0,1.0,0.0,0.5,3.0,0.3690169253265778,0.0,0.0,0.0,6.25,0.25,0.0,100.0,0.4920225671021038
6,7,Abner,br BRA,DF,Betis,es La Liga,23-106,2000,3.1,0.0,0.6451612903225806,0.0,0.0,0.2064516129032258,0.0,0.0,0.0,5.032258064516129,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.009677419354838708,-0.03225806451612903,-0.03225806451612903,41.61290322580645,54.83870967741935,75.9,591.6129032258065,280.0,26.451612903225804,30.64516129032258,86.3,11.29032258064516,14.838709677419354,76.1,2.258064516129032,6.451612903225806,35.0,0.0,0.0,0.0,0.0,0.3225806451612903,1.2903225806451613,0.6451612903225806,0.0,1.6129032258064515,54.83870967741935,45.483870967741936,9.35483870967742,0.0,0.0,0.0,2.903225806451613,9.35483870967742,0.0,0.0,0.0,0.0,41.61290322580645,0.0,0.9677419354838709,1.2903225806451613,0.4129032258064516,1.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556474652689065,1.245179722151252,1.245179722151252,0.311294930537813,0.0,1.556474652689065,2.1790645137646907,71.4,0.622589861075626,2.490359444302504,0.622589861075626,1.8677695832268777,1.245179722151252,2.801654374840317,3.7355391664537554,0.0,68.06451612903226,6.774193548387097,25.806451612903224,27.419354838709676,15.806451612903226,1.6129032258064515,68.06451612903226,0.9677419354838709,0.6451612903225806,66.7,0.3225806451612903,33.3,31.93548387096774,120.64516129032258,60.32258064516129,0.6451612903225806,0.6451612903225806,0.0,0.9677419354838709,1.2903225806451613,35.16129032258065,4.193548387096774,1.2903225806451613,116.12903225806451,29.032258064516128,100.0,1.2903225806451613,29.032258064516128,1.2903225806451613,0.0,0.0,0.0,0.4032258064516129,1.6129032258064515,1.6129032258064515,0.0,0.0,0.0,1.032258064516129,1.9677419354838708,-0.9354838709677419,-0.23225806451612901,0.0,0.3225806451612903,0.0,0.0,0.9677419354838709,0.3225806451612903,0.3225806451612903,2.903225806451613,1.2903225806451613,1.245179722151252,0.0,0.0,0.0,6.129032258064516,0.3225806451612903,0.9677419354838709,25.0,0.9650142846672203
7,8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23-204,2000,3.8,0.7894736842105263,3.1578947368421053,1.3157894736842106,41.7,0.8263157894736843,0.3447368421052632,0.044736842105263165,0.10526315789473685,4.500000000000001,0.0,0.2631578947368421,0.2631578947368421,0.5526315789473685,0.34210526315789475,0.02894736842105263,0.2368421052631579,0.18421052631578946,16.315789473684212,22.63157894736842,72.1,251.57894736842107,72.89473684210526,7.631578947368421,9.473684210526317,80.6,6.578947368421053,8.421052631578947,78.1,0.7894736842105263,1.0526315789473684,75.0,0.0,0.052631578947368425,0.026315789473684213,-0.052631578947368425,1.0526315789473684,1.842105263157895,0.7894736842105263,0.0,2.6315789473684212,22.63157894736842,21.05263157894737,1.5789473684210527,0.0,0.0,0.0,0.5263157894736842,1.3157894736842106,0.0,0.0,0.0,0.0,16.315789473684212,0.0,0.7894736842105263,2.1052631578947367,0.5499999999999999,1.3157894736842106,0.0,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.2631578947368421,0.06842105263157895,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.19256021525747333,0.19256021525747333,0.0,0.0,0.19256021525747333,0.19256021525747333,0.5776806457724201,33.3,0.38512043051494665,0.38512043051494665,0.0,0.38512043051494665,0.19256021525747333,0.38512043051494665,0.0,0.0,33.42105263157895,0.0,1.842105263157895,14.473684210526317,17.63157894736842,5.2631578947368425,33.15789473684211,2.8947368421052633,1.0526315789473684,36.4,1.842105263157895,63.6,25.263157894736842,164.73684210526318,72.63157894736842,2.6315789473684212,2.1052631578947367,0.7894736842105263,2.8947368421052633,0.2631578947368421,25.526315789473685,8.421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,1.842105263157895,0.5263157894736842,0.5263157894736842,0.2631578947368421,0.19256021525747333,0.2631578947368421,0.0,0.0,2.1052631578947367,1.3157894736842106,0.2631578947368421,83.3,0.7317288179783987
8,9,Abdel Abqar,ma MAR,DF,Alaves,es La Liga,24-184,1999,3.0,0.0,0.6666666666666666,0.3333333333333333,50.0,0.22333333333333336,0.11,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,18.0,26.0,69.2,501.0,260.3333333333333,4.666666666666667,6.0,77.8,7.333333333333333,8.0,91.7,6.0,11.333333333333334,52.9,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,2.3333333333333335,26.0,24.333333333333332,1.3333333333333333,1.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.3333333333333333,0.0,0.3333333333333333,0.11,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,34.333333333333336,7.333333333333333,18.666666666666668,14.333333333333334,1.3333333333333333,0.6666666666666666,34.333333333333336,0.0,0.0,0.0,0.0,0.0,17.0,89.0,54.666666666666664,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,15.666666666666666,0.0,1.3333333333333333,94.0,23.666666666666668,78.3,1.0,26.333333333333332,0.6666666666666666,0.3333333333333333,15.0,0.0,0.5833333333333334,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.10666666666666667,0.49,0.9666666666666667,1.6666666666666667,-0.7333333333333334,-0.22999999999999998,-0.08666666666666667,0.3333333333333333,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,0.0,0.3333333333333333,0.3333333333333333,5.0,3.3333333333333335,0.6666666666666666,83.3,
9,10,Marcos Acuna,ar ARG,DF,Sevilla,es La Liga,31-317,1991,1.5,0.0,2.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,18.933333333333334,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.013333333333333334,-0.06666666666666667,-0.06666666666666667,50.0,68.66666666666667,72.8,1144.0,457.3333333333333,16.0,20.0,80.0,20.666666666666668,26.0,79.5,12.0,19.333333333333332,62.1,0.0,0.06666666666666667,0.06666666666666667,-0.06666666666666667,0.6666666666666666,6.666666666666667,1.3333333333333333,0.6666666666666666,4.0,68.66666666666667,52.666666666666664,16.0,0.6666666666666666,0.0,1.3333333333333333,5.333333333333333,14.0,1.3333333333333333,0.0,1.3333333333333333,0.0,50.0,0.0,2.0,3.3333333333333335,2.22,2.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.645444766593684,2.734083574945263,1.822722383296842,1.822722383296842,0.0,2.734083574945263,3.645444766593684,75.0,0.911361191648421,1.822722383296842,0.0,1.822722383296842,2.734083574945263,6.379528341538947,1.822722383296842,0.0,81.33333333333333,1.3333333333333333,25.333333333333332,38.666666666666664,18.666666666666668,0.6666666666666666,81.33333333333333,2.0,0.6666666666666666,33.3,0.0,0.0,37.333333333333336,166.0,92.0,2.0,0.6666666666666666,0.6666666666666666,2.0,2.0,40.666666666666664,1.3333333333333333,2.6666666666666665,229.33333333333334,57.333333333333336,95.6,2.6666666666666665,57.333333333333336,0.6666666666666666,0.0,0.0,0.0,0.8333333333333334,2.6666666666666665,3.3333333333333335,-0.6666666666666666,-0.17333333333333334,-0.17333333333333334,2.1333333333333333,5.0,-2.8666666666666667,-0.7533333333333333,1.8133333333333335,0.6666666666666666,0.0,0.0,0.6666666666666666,1.3333333333333333,0.0,5.333333333333333,2.0,2.734083574945263,0.0,0.0,0.0,10.0,0.6666666666666666,2.0,25.0,1.3670417874726315
